,quality_score,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Processing Method,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Category Two Defects,Temperature (F)
0,88.83,Brazil,8.58,8.42,8.42,8.5,Natural / Dry,8.25,8.33,10.0,10.0,10.0,8.33,0.11,0,1,77.90873346153846
1,86.92,Brazil,8.5,8.5,8.0,8.0,Natural / Dry,8.0,8.0,10.0,10.0,10.0,7.92,0.12,0,2,77.90873346153846
2,86.42,Brazil,8.5,8.17,8.0,7.75,Natural / Dry,8.0,8.0,10.0,10.0,10.0,8.0,0.12,0,2,77.90873346153846
3,86.17,Brazil,8.17,7.92,7.92,7.75,,8.33,8.0,10.0,10.0,10.0,8.08,0.08,0,2,77.90873346153846
4,86.17,Brazil,8.42,7.92,8.0,7.75,,7.92,8.0,10.0,10.0,10.0,8.17,0.01,0,3,77.90873346153846
5,86.08,Brazil,8.33,8.0,8.0,8.0,Semi-washed / Semi-pulped,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,2,77.90873346153846
6,85.42,Brazil,8.0,8.0,8.0,7.67,Semi-washed / Semi-pulped,7.75,8.0,10.0,10.0,10.0,8.0,0.11,0,1,77.90873346153846
7,85.0,Brazil,8.0,8.0,7.83,7.83,Natural / Dry,7.67,7.67,10.0,10.0,10.0,8.0,0.12,0,3,77.90873346153846
8,84.92,Brazil,8.0,7.92,7.75,7.75,Natural / Dry,8.0,7.75,10.0,10.0,10.0,7.75,0.11,0,2,77.90873346153846
9,84.92,Brazil,8.0,8.0,7.75,8.0,Natural / Dry,7.5,7.75,10.0,10.0,10.0,7.92,0.12,0,2,77.90873346153846
10,84.58,Brazil,8.0,8.0,7.75,7.75,Semi-washed / Semi-pulped,7.58,7.75,10.0,10.0,10.0,7.75,0.12,0,2,77.90873346153846
11,84.58,Brazil,8.5,8.0,7.5,7.75,Semi-washed / Semi-pulped,7.5,7.83,10.0,10.0,10.0,7.5,0.11,0,1,77.90873346153846
12,84.5,Brazil,7.81,7.81,7.88,7.75,,7.38,8.25,9.5,10.0,10.0,8.13,0.0,0,4,77.90873346153846
13,84.5,Brazil,8.17,7.67,7.75,7.75,,7.67,7.75,10.0,10.0,10.0,7.75,0.0,2,0,77.90873346153846
14,84.33,Brazil,8.17,8.0,7.5,7.75,,7.5,7.67,10.0,10.0,10.0,7.75,0.0,0,4,77.90873346153846
15,84.33,Brazil,8.0,8.0,7.5,7.5,,7.67,7.75,10.0,10.0,10.0,7.92,0.02,0,2,77.90873346153846
16,84.17,Brazil,7.67,7.75,7.75,7.67,Natural / Dry,7.83,7.75,10.0,10.0,10.0,7.75,0.0,0,16,77.90873346153846
17,84.17,Brazil,7.58,7.83,7.75,7.67,Natural / Dry,7.67,8.0,10.0,10.0,10.0,7.67,0.11,0,3,77.90873346153846
18,84.0,Brazil,7.58,7.83,7.67,7.25,Natural / Dry,8.0,7.75,10.0,10.0,10.0,7.92,0.1,0,0,77.90873346153846
19,83.92,Brazil,7.5,7.75,7.58,7.5,Natural / Dry,7.58,7.5,10.0,10.0,10.0,8.5,0.0,0,3,77.90873346153846
20,83.92,Brazil,7.58,7.67,7.67,7.75,Natural / Dry,7.58,7.83,10.0,10.0,10.0,7.83,0.11,0,7,77.90873346153846
21,83.83,Brazil,7.25,7.58,7.42,8.0,Natural / Dry,7.75,7.83,10.0,10.0,10.0,8.0,0.0,0,0,77.90873346153846
22,83.83,Brazil,7.67,7.67,7.58,7.5,Semi-washed / Semi-pulped,7.83,8.17,10.0,10.0,9.33,8.08,0.0,0,1,77.90873346153846
23,83.83,Brazil,7.92,7.5,7.33,7.67,Natural / Dry,8.17,7.5,10.0,10.0,10.0,7.75,0.1,0,0,77.90873346153846
24,83.83,Brazil,7.83,7.83,7.58,7.67,Semi-washed / Semi-pulped,7.5,7.58,10.0,10.0,10.0,7.83,0.12,0,3,77.90873346153846
25,83.75,Brazil,7.67,7.67,7.58,7.75,Natural / Dry,7.67,7.67,10.0,10.0,10.0,7.75,0.11,0,5,77.90873346153846
26,83.67,Brazil,7.67,7.83,7.5,7.67,Natural / Dry,7.67,7.5,10.0,10.0,10.0,7.83,0.11,0,2,77.90873346153846
27,83.67,Brazil,7.58,7.75,7.58,7.75,Natural / Dry,7.58,7.58,10.0,10.0,10.0,7.83,0.11,0,3,77.90873346153846
28,83.58,Brazil,7.58,7.67,7.58,7.58,Natural / Dry,7.67,7.58,10.0,10.0,10.0,7.92,0.11,0,5,77.90873346153846
29,83.58,Brazil,7.83,7.75,7.5,7.75,Semi-washed / Semi-pulped,7.5,7.58,10.0,10.0,10.0,7.67,0.12,0,2,77.90873346153846
30,83.42,Brazil,7.33,7.83,7.75,7.5,Semi-washed / Semi-pulped,7.42,7.83,10.0,10.0,10.0,7.75,0.12,0,6,77.90873346153846
31,83.33,Brazil,7.5,7.83,7.33,7.58,Semi-washed / Semi-pulped,7.58,7.92,10.0,10.0,10.0,7.58,0.1,1,5,77.90873346153846
32,83.25,Brazil,7.58,7.67,7.42,7.5,,7.67,7.42,10.0,10.0,10.0,8.0,0.12,0,4,77.90873346153846
33,83.25,Brazil,7.75,7.67,7.5,7.58,Semi-washed / Semi-pulped,7.58,7.58,10.0,10.0,10.0,7.58,0.11,0,1,77.90873346153846
34,83.17,Brazil,7.67,7.42,7.5,7.58,Natural / Dry,7.67,7.58,10.0,10.0,10.0,7.75,0.11,0,4,77.90873346153846
35,83.17,Brazil,7.75,7.67,7.58,7.5,Natural / Dry,7.58,7.58,10.0,10.0,10.0,7.5,0.12,0,1,77.90873346153846
36,83.17,Brazil,7.92,7.58,7.5,7.58,Natural / Dry,7.42,7.5,10.0,10.0,10.0,7.67,0.11,0,4,77.90873346153846
37,83.17,Brazil,7.75,7.5,7.58,7.5,Semi-washed / Semi-pulped,7.75,7.5,10.0,10.0,10.0,7.58,0.12,0,3,77.90873346153846
38,83.17,Brazil,7.58,7.75,7.67,7.5,,7.67,7.58,10.0,10.0,10.0,7.42,0.02,0,2,77.90873346153846
